18-Oct-2022 14:16:43 Start of calculation the curve OFDM_PAPR_Type1_16QAM (2 of 15).
18-Oct-2022 14:16:43   Start of the main calculations.
18-Oct-2022 14:16:50     NumSam =    2851200; NumFr =    100; NumBits =    4097600; PAPR = 9.00; Prob = 0.000360 =       1026/   2851200.
18-Oct-2022 14:16:55     NumSam =    5702400; NumFr =    200; NumBits =    8195200; PAPR = 9.30; Prob = 0.000197 =       1123/   5702400.
18-Oct-2022 14:16:59     NumSam =    8553600; NumFr =    300; NumBits =   12292800; PAPR = 9.50; Prob = 0.000130 =       1108/   8553600.
18-Oct-2022 14:17:04     NumSam =   11404800; NumFr =    400; NumBits =   16390400; PAPR = 9.60; Prob = 0.000105 =       1197/  11404800.
18-Oct-2022 14:17:10     NumSam =   14256000; NumFr =    500; NumBits =   20488000; PAPR = 9.70; Prob = 0.000085 =       1206/  14256000.
18-Oct-2022 14:17:15     NumSam =   17107200; NumFr =    600; NumBits =   24585600; PAPR = 9.80; Prob = 0.000069 =       1184/  17107200.
18-Oct-2022 14:17:19     NumSam =   19958400; NumFr =    700; NumBits =   28683200; PAPR = 9.90; Prob = 0.000056 =       1122/  19958400.
18-Oct-2022 14:17:23     NumSam =   22809600; NumFr =    800; NumBits =   32780800; PAPR = 10.00; Prob = 0.000046 =       1041/  22809600.
18-Oct-2022 14:17:27     NumSam =   25660800; NumFr =    900; NumBits =   36878400; PAPR = 10.00; Prob = 0.000046 =       1168/  25660800.
18-Oct-2022 14:17:32     NumSam =   28512000; NumFr =   1000; NumBits =   40976000; PAPR = 10.00; Prob = 0.000045 =       1292/  28512000.
18-Oct-2022 14:17:36     NumSam =   31363200; NumFr =   1100; NumBits =   45073600; PAPR = 10.10; Prob = 0.000034 =       1078/  31363200.
18-Oct-2022 14:17:41     NumSam =   34214400; NumFr =   1200; NumBits =   49171200; PAPR = 10.10; Prob = 0.000034 =       1172/  34214400.
18-Oct-2022 14:17:45     NumSam =   37065600; NumFr =   1300; NumBits =   53268800; PAPR = 10.20; Prob = 0.000027 =       1018/  37065600.
