18-Oct-2022 14:29:25 Start of calculation the curve OFDM_PAPR_Type2_16QAM (5 of 15).
18-Oct-2022 14:29:25   Start of the main calculations.
18-Oct-2022 14:29:31     NumSam =       1300; NumFr =    100; NumBits =    4097600; PAPR = 8.50; Prob = 0.810769 =       1054/      1300.
18-Oct-2022 14:29:35     NumSam =       2600; NumFr =    200; NumBits =    8195200; PAPR = 9.20; Prob = 0.385769 =       1003/      2600.
18-Oct-2022 14:29:39     NumSam =       3900; NumFr =    300; NumBits =   12292800; PAPR = 9.40; Prob = 0.271795 =       1060/      3900.
18-Oct-2022 14:29:43     NumSam =       5200; NumFr =    400; NumBits =   16390400; PAPR = 9.50; Prob = 0.227692 =       1184/      5200.
18-Oct-2022 14:29:47     NumSam =       6500; NumFr =    500; NumBits =   20488000; PAPR = 9.70; Prob = 0.157692 =       1025/      6500.
18-Oct-2022 14:29:52     NumSam =       7800; NumFr =    600; NumBits =   24585600; PAPR = 9.80; Prob = 0.131923 =       1029/      7800.
18-Oct-2022 14:29:56     NumSam =       9100; NumFr =    700; NumBits =   28683200; PAPR = 9.80; Prob = 0.132747 =       1208/      9100.
18-Oct-2022 14:30:00     NumSam =      10400; NumFr =    800; NumBits =   32780800; PAPR = 9.90; Prob = 0.108173 =       1125/     10400.
18-Oct-2022 14:30:04     NumSam =      11700; NumFr =    900; NumBits =   36878400; PAPR = 10.00; Prob = 0.086923 =       1017/     11700.
18-Oct-2022 14:30:08     NumSam =      13000; NumFr =   1000; NumBits =   40976000; PAPR = 10.00; Prob = 0.086692 =       1127/     13000.
18-Oct-2022 14:30:12     NumSam =      14300; NumFr =   1100; NumBits =   45073600; PAPR = 10.00; Prob = 0.086154 =       1232/     14300.
18-Oct-2022 14:30:16     NumSam =      15600; NumFr =   1200; NumBits =   49171200; PAPR = 10.10; Prob = 0.066859 =       1043/     15600.
18-Oct-2022 14:30:21     NumSam =      16900; NumFr =   1300; NumBits =   53268800; PAPR = 10.10; Prob = 0.067101 =       1134/     16900.
18-Oct-2022 14:30:25     NumSam =      18200; NumFr =   1400; NumBits =   57366400; PAPR = 10.10; Prob = 0.067747 =       1233/     18200.
18-Oct-2022 14:30:29     NumSam =      19500; NumFr =   1500; NumBits =   61464000; PAPR = 10.20; Prob = 0.054821 =       1069/     19500.
18-Oct-2022 14:30:33     NumSam =      20800; NumFr =   1600; NumBits =   65561600; PAPR = 10.20; Prob = 0.054760 =       1139/     20800.
18-Oct-2022 14:30:37     NumSam =      22100; NumFr =   1700; NumBits =   69659200; PAPR = 10.20; Prob = 0.054842 =       1212/     22100.
18-Oct-2022 14:30:42     NumSam =      23400; NumFr =   1800; NumBits =   73756800; PAPR = 10.30; Prob = 0.043632 =       1021/     23400.
18-Oct-2022 14:30:46     NumSam =      24700; NumFr =   1900; NumBits =   77854400; PAPR = 10.30; Prob = 0.043279 =       1069/     24700.
18-Oct-2022 14:30:50     NumSam =      26000; NumFr =   2000; NumBits =   81952000; PAPR = 10.30; Prob = 0.043462 =       1130/     26000.
18-Oct-2022 14:30:54     NumSam =      27300; NumFr =   2100; NumBits =   86049600; PAPR = 10.30; Prob = 0.043443 =       1186/     27300.
18-Oct-2022 14:30:59     NumSam =      28600; NumFr =   2200; NumBits =   90147200; PAPR = 10.30; Prob = 0.043252 =       1237/     28600.
18-Oct-2022 14:31:03     NumSam =      29900; NumFr =   2300; NumBits =   94244800; PAPR = 10.40; Prob = 0.034582 =       1034/     29900.
18-Oct-2022 14:31:07     NumSam =      31200; NumFr =   2400; NumBits =   98342400; PAPR = 10.40; Prob = 0.034327 =       1071/     31200.
18-Oct-2022 14:31:11     NumSam =      32500; NumFr =   2500; NumBits =  102440000; PAPR = 10.40; Prob = 0.034031 =       1106/     32500.
18-Oct-2022 14:31:15     NumSam =      33800; NumFr =   2600; NumBits =  106537600; PAPR = 10.40; Prob = 0.034142 =       1154/     33800.
18-Oct-2022 14:31:20     NumSam =      35100; NumFr =   2700; NumBits =  110635200; PAPR = 10.40; Prob = 0.034074 =       1196/     35100.
18-Oct-2022 14:31:24     NumSam =      36400; NumFr =   2800; NumBits =  114732800; PAPR = 10.40; Prob = 0.034368 =       1251/     36400.
18-Oct-2022 14:31:28     NumSam =      37700; NumFr =   2900; NumBits =  118830400; PAPR = 10.50; Prob = 0.026923 =       1015/     37700.
18-Oct-2022 14:31:32     NumSam =      39000; NumFr =   3000; NumBits =  122928000; PAPR = 10.50; Prob = 0.027026 =       1054/     39000.
18-Oct-2022 14:31:36     NumSam =      40300; NumFr =   3100; NumBits =  127025600; PAPR = 10.50; Prob = 0.027097 =       1092/     40300.
18-Oct-2022 14:31:40     NumSam =      41600; NumFr =   3200; NumBits =  131123200; PAPR = 10.50; Prob = 0.027091 =       1127/     41600.
18-Oct-2022 14:31:44     NumSam =      42900; NumFr =   3300; NumBits =  135220800; PAPR = 10.50; Prob = 0.026970 =       1157/     42900.
18-Oct-2022 14:31:49     NumSam =      44200; NumFr =   3400; NumBits =  139318400; PAPR = 10.50; Prob = 0.026968 =       1192/     44200.
18-Oct-2022 14:31:53     NumSam =      45500; NumFr =   3500; NumBits =  143416000; PAPR = 10.50; Prob = 0.027121 =       1234/     45500.
